"Pin Number","Pin ID","Custom Name","Function","Direction","Latch","Open Drain","PIO Interrupt","Pull Up","Pull Down","Glitch/Debounce Filter",Slew Rate Control,Drive Strength
A2,PC8,,Available,In,,,,,,,,
A3,PC14,,Available,In,,,,,,,,
A4,PC18,,Available,In,,,,,,,,
A5,PC20,,Available,In,,,,,,,,
A6,PC26,,Available,In,,,,,,,,
A7,PC2,,Available,In,,,,,,,,
A8,PC4,,Available,In,,,,,,,,
A9,PC6,,Available,In,,,,,,,,
A10,PC10,,Available,In,,,,,,,,
A11,PC12,,Available,In,,,,,,,,
A12,PB19,,Available,In,,,,,,,,
A13,PB25,,Available,In,,,,,,,,
B3,PC0,,Available,In,,,,,,,,
B4,PC17,,Available,In,,,,,,,,
B5,PC23,,Available,In,,,,,,,,
B6,PC28,,Available,In,,,,,,,,
B7,PC3,,Available,In,,,,,,,,
B8,PC5,,Available,In,,,,,,,,
B9,PC7,,Available,In,,,,,,,,
B10,PC11,,Available,In,,,,,,,,
B11,PC13,,Available,In,,,,,,,,
B12,PB21,,Available,In,,,,,,,,
B13,PB23,,Available,In,,,,,,,,
C3,PC1,,Available,In,,,,,,,,
C4,PC16,,Available,In,,,,,,,,
C5,PC22,,Available,In,,,,,,,,
C6,PC24,,Available,In,,,,,,,,
C7,PC30,,Available,In,,,,,,,,
C9,PB15,,Available,In,,,,,,,,
C10,PB17,,Available,In,,,,,,,,
C11,PB18,,Available,In,,,,,,,,
C13,PB26,,Available,In,,,,,,,,
D3,PC9,,Available,In,,,,,,,,
D5,PC15,,Available,In,,,,,,,,
D7,PC21,,Available,In,,,,,,,,
D9,PC31,,Available,In,,,,,,,,
D11,PB20,,Available,In,,,,,,,,
D12,PB24,,Available,In,,,,,,,,
E6,PC19,,Available,In,,,,,,,,
E7,PC25,,Available,In,,,,,,,,
E11,PB16,,LED_AH,n/a,n/a,No,Disabled,No,No,Disabled,No,Low
E12,PB22,,Available,In,,,,,,,,
G7,PC27,,Available,In,,,,,,,,
G8,PC29,,Available,In,,,,,,,,
J5,PA24,,SDMMC0_DAT2,n/a,n/a,No,Disabled,No,No,Disabled,No,Low
K5,PA26,,Available,In,,,,,,,,
K7,PA18,,SDMMC0_CK,n/a,n/a,No,Disabled,No,No,Disabled,No,Low
L5,PA21,,Available,In,,,,,,,,
L8,PA7,,Available,In,,,,,,,,
M4,PA28,,Available,In,,,,,,,,
N3,PA29,,Available,In,,,,,,,,
N4,PA25,,Available,In,,,,,,,,
N5,PA30,,Available,In,,,,,,,,
N7,PA11,,Available,In,,,,,,,,
N9,PA5,,Available,In,,,,,,,,
N10,PB11,,Available,In,,,,,,,,
N12,PB1,,Available,In,,,,,,,,
P2,PA31,,Available,In,,,,,,,,
P3,PA27,,Available,In,,,,,,,,
P4,PA23,,Available,In,,,,,,,,
P7,PA15,,SDMMC0_DAT1,n/a,n/a,No,Disabled,No,No,Disabled,No,Low
P8,PA9,,Available,In,,,,,,,,
P9,PA1,,Available,In,,,,,,,,
P10,PB13,,Available,In,,,,,,,,
P11,PB7,,Available,In,,,,,,,,
P12,PB5,,Available,In,,,,,,,,
P13,PD13,,Available,In,,,,,,,,
P14,PD4,,Available,In,,,,,,,,
P15,PD0,,Available,In,,,,,,,,
P17,PD2,,Available,In,,,,,,,,
R4,PA17,,Available,In,,,,,,,,
R5,PA16,,Available,In,,,,,,,,
R6,PA12,,Available,In,,,,,,,,
R7,PA2,,Available,In,,,,,,,,
R10,PB9,,Available,In,,,,,,,,
R11,PB3,,Available,In,,,,,,,,
R12,PB0,,Available,In,,,,,,,,
R13,PD9,,Available,In,,,,,,,,
R15,PD6,,Available,In,,,,,,,,
R17,PD1,,Available,In,,,,,,,,
T4,PA20,,Available,In,,,,,,,,
T5,PA14,,Available,In,,,,,,,,
T6,PA10,,Available,In,,,,,,,,
T7,PA4,,Available,In,,,,,,,,
T8,PB14,,Available,In,,,,,,,,
T9,PB10,,Available,In,,,,,,,,
T10,PB6,,Available,In,,,,,,,,
T12,PB2,,Available,In,,,,,,,,
T13,PD10,,Available,In,,,,,,,,
T14,PD11,,Available,In,,,,,,,,
T15,PD7,,Available,In,,,,,,,,
T17,PD3,,Available,In,,,,,,,,
U3,PA22,,Available,In,,,,,,,,
U4,PA19,,Available,In,,,,,,,,
