Pin Number,Pin ID,Custom Name,Function,Direction,Latch,Open Drain,PIO Interrupt,Pull Up,Pull Down,Glitch/Debounce Filter,Drive Strength
A1,PB23,,Available,In,,,,,,,
A2,PB21,,Available,In,,,,,,,
A3,PB18,,Available,In,,,,,,,
A4,PB9,,Available,In,,,,,,,
A5,PB8,,Available,In,,,,,,,
A6,PB3,,Available,In,,,,,,,
A7,PB2,,Available,In,,,,,,,
A8,PB1,,Available,In,,,,,,,
B1,PB27,,UART0_UTXD0,n/a,n/a,No,Disabled,No,No,Glitch Filter,0x0
B2,PB25,,Available,In,,,,,,,
B3,PB20,,Available,In,,,,,,,
B4,PB13,,Available,In,,,,,,,
B5,PB11,,Available,In,,,,,,,
B6,PB4,,Available,In,,,,,,,
B7,PB5,,Available,In,,,,,,,
C1,PB31,,Available,In,,,,,,,
C2,PB28,,Available,In,,,,,,,
C3,PB22,,Available,In,,,,,,,
C4,PB17,,Available,In,,,,,,,
C5,PB14,,Available,In,,,,,,,
C6,PB7,,Available,In,,,,,,,
C7,PB6,,Available,In,,,,,,,
D1,PC9,,Available,In,,,,,,,
D2,PB30,,Available,In,,,,,,,
D3,PB29,,Available,In,,,,,,,
D4,PB19,,Available,In,,,,,,,
D5,PB16,,Available,In,,,,,,,
D6,PB12,,Available,In,,,,,,,
D8,PC31,,Available,In,,,,,,,
E1,PC12,,Available,In,,,,,,,
E2,PC11,,Available,In,,,,,,,
E3,PC10,,Available,In,,,,,,,
E4,PB26,,UART0_URXD0,n/a,n/a,No,Disabled,No,No,Glitch Filter,0x0
E5,PB24,,Available,In,,,,,,,
E8,PC28,,Available,In,,,,,,,
E10,PD1,,Available,In,,,,,,,
F1,PC17,,Available,In,,,,,,,
F2,PC15,,Available,In,,,,,,,
F3,PC13,,Available,In,,,,,,,
F5,PC14,,Available,In,,,,,,,
F8,PC30,,Available,In,,,,,,,
G1,PC21,,Available,In,,,,,,,
G2,PC19,,Available,In,,,,,,,
G3,PC20,,Available,In,,,,,,,
G5,PC23,,Available,In,,,,,,,
G6,PC16,,Available,In,,,,,,,
G8,PC29,,Available,In,,,,,,,
G9,PD2,,Available,In,,,,,,,
G10,PD0,,Available,In,,,,,,,
H1,PC24,,Available,In,,,,,,,
H2,PC22,,Available,In,,,,,,,
H5,PC25,,Available,In,,,,,,,
H6,PC18,,Available,In,,,,,,,
H7,PB15,,Available,In,,,,,,,
H8,PB10,,Available,In,,,,,,,
H9,PC27,,Available,In,,,,,,,
J1,PD8,,Available,In,,,,,,,
J2,PD6,,Available,In,,,,,,,
J3,PD10,,Available,In,,,,,,,
J4,PD5,,Available,In,,,,,,,
J5,PD18,,Available,In,,,,,,,
J6,PD4,,Available,In,,,,,,,
J7,PD7,,Available,In,,,,,,,
J8,PB0,,Available,In,,,,,,,
J9,PC26,,Available,In,,,,,,,
J10,PC8,,Available,In,,,,,,,
K1,PD3,,Available,In,,,,,,,
K2,PD17,,Available,In,,,,,,,
K4,PD14,,Available,In,,,,,,,
K6,PD19,,Available,In,,,,,,,
K7,PD15,,Available,In,,,,,,,
K8,PD12,,Available,In,,,,,,,
K9,PD9,,Available,In,,,,,,,
K10,PC6,,Available,In,,,,,,,
L1,PD16,,Available,In,,,,,,,
L2,PD13,,Available,In,,,,,,,
L4,PD22,,Available,In,,,,,,,
L6,PD25,,Available,In,,,,,,,
L7,PD24,,Available,In,,,,,,,
L8,PD27,,Available,In,,,,,,,
L9,PD30,,Available,In,,,,,,,
L10,PC5,,Available,In,,,,,,,
M1,PD11,,Available,In,,,,,,,
M2,PD20,,Available,In,,,,,,,
M3,PD23,,Available,In,,,,,,,
M4,PD28,,Available,In,,,,,,,
M7,PD31,,Available,In,,,,,,,
M8,PIOBU7,,Available,In,,,,,,,
M10,PA16,,Available,In,,,,,,,
M11,PC4,,Available,In,,,,,,,
M14,PA14,,Available,In,,,,,,,
M15,PC3,,Available,In,,,,,,,
M16,PC7,,Available,In,,,,,,,
N1,PD21,,Available,In,,,,,,,
N2,PD26,,Available,In,,,,,,,
N3,PD29,,Available,In,,,,,,,
N8,PIOBU1,,Available,In,,,,,,,
N10,PA8,LED_GREEN,GPIO,Out,Low,No,Disabled,No,No,Glitch Filter,0x0
